p_a,JC Deterministic,JC Non-Deterministic
-0.01,1.0,0.0
0.0,1.0,0.039700000000000006
0.01,1.0,0.0788
0.019999999999999997,1.0,0.11729999999999999
0.03,1.0,0.1552
0.04,1.0,0.1925
0.049999999999999996,1.0,0.22919999999999996
0.060000000000000005,1.0,0.26530000000000004
0.07,1.0,0.3008
0.08,1.0,0.3357
0.09000000000000001,1.0,0.37
0.1,1.0,0.4037
0.11,1.0,0.43679999999999997
0.12000000000000001,1.0,0.46930000000000005
0.13,1.0,0.5012000000000001
0.13999999999999999,1.0,0.5325
0.15,1.0,0.5632
0.16,1.0,0.5933
0.16999999999999998,1.0,0.6228
0.18,1.0,0.6517
0.19,1.0,0.6800000000000002
0.19999999999999998,1.0,0.7077
0.21,1.0,0.7348
0.22,1.0,0.7613
0.22999999999999998,1.0,0.7872
0.24,1.0,0.8125
0.25,1.0,0.8372
0.26,1.0,0.8613
0.27,1.0,0.8848
0.27999999999999997,1.0,0.9077
0.29,1.0,0.9299999999999999
0.3,1.0,0.9517
0.31,1.0,0.9727999999999999
0.32,1.0,0.9933000000000001
0.33,1.0,1.0132
0.33999999999999997,1.0,1.0325
0.35,1.0,1.0512000000000001
0.36,1.0,1.0693000000000001
0.37,1.0,1.0868
0.38,1.0,1.1037
0.39,1.0,1.12
0.39999999999999997,1.0,1.1357
0.41,1.0,1.1508
0.42,1.0,1.1653
0.43,1.0,1.1792
0.44,1.0,1.1925000000000001
0.45,1.0,1.2052
0.45999999999999996,1.0,1.2173
0.47,1.0,1.2288
0.48,1.0,1.2397
0.49,1.0,1.25
0.5,1.0,1.2597
0.51,1.0,1.2688
0.52,1.0,1.2772999999999999
0.53,1.0,1.2852000000000001
0.54,1.0,1.2925
0.55,1.0,1.2992
0.5599999999999999,1.0,1.3053
0.57,1.0,1.3108
0.58,1.0,1.3157
0.59,1.0,1.3199999999999998
0.6,1.0,1.3237
0.61,1.0,1.3268
0.62,1.0,1.3293
0.63,1.0,1.3312
0.64,1.0,1.3325
0.65,1.0,1.3332000000000002
0.66,1.0,1.3333
0.67,1.0,1.3328
0.6799999999999999,1.0,1.3317
0.69,1.0,1.33
0.7,1.0,1.3277
0.71,1.0,1.3248
0.72,1.0,1.3213
0.73,1.0,1.3172000000000001
0.74,1.0,1.3125
0.75,1.0,1.3072
0.76,1.0,1.3013
0.77,1.0,1.2948
0.78,1.0,1.2877
0.79,1.0,1.28
0.8,1.0,1.2717
0.8099999999999999,1.0,1.2628
0.82,1.0,1.2532999999999999
0.83,1.0,1.2432
0.84,1.0,1.2325
0.85,1.0,1.2212
0.86,1.0,1.2093
0.87,1.0,1.1968
0.88,1.0,1.1837
0.89,1.0,1.17
0.9,1.0,1.1557
0.91,1.0,1.1408
0.92,1.0,1.1253
0.9299999999999999,1.0,1.1092
0.94,1.0,1.0924999999999998
0.95,1.0,1.0752000000000002
0.96,1.0,1.0573000000000001
0.97,1.0,1.0388
0.98,1.0,1.0197
0.99,1.0,1.0
