p_a,RND0,RND1,RNDoptimal,p_Eoptimal
-0.01,1.0,0.5,1.0,0
0.0,0.97,0.4703,0.97,0
0.01,0.94,0.4412,0.94,0
0.019999999999999997,0.9099999999999999,0.4127,0.9099999999999999,0
0.03,0.88,0.38480000000000003,0.88,0
0.04,0.85,0.35750000000000004,0.85,0
0.049999999999999996,0.82,0.3308,0.82,0
0.060000000000000005,0.7899999999999999,0.30469999999999997,0.7899999999999999,0
0.07,0.76,0.2792,0.76,0
0.08,0.73,0.2543,0.73,0
0.09000000000000001,0.7,0.22999999999999998,0.7,0
0.1,0.67,0.2063,0.67,0
0.11,0.64,0.18319999999999997,0.64,0
0.12000000000000001,0.61,0.1607,0.61,0
0.13,0.58,0.13879999999999992,0.58,0
0.13999999999999999,0.55,0.11749999999999998,0.55,0
0.15,0.52,0.09679999999999998,0.52,0
0.16,0.48999999999999994,0.07669999999999998,0.48999999999999994,0
0.16999999999999998,0.4600000000000001,0.057200000000000056,0.4600000000000001,0
0.18,0.43000000000000005,0.03830000000000003,0.43000000000000005,0
0.19,0.4,0.01999999999999999,0.4,0
0.19999999999999998,0.37000000000000005,0.0023000000000000936,0.37000000000000005,0
0.21,0.34,-0.014799999999999966,0.34,0
0.22,0.31,-0.031300000000000036,0.31,0
0.22999999999999998,0.28,-0.04720000000000002,0.28,0
0.24,0.25,-0.0625,0.25,0
0.25,0.21999999999999997,-0.07720000000000005,0.21999999999999997,0
0.26,0.18999999999999995,-0.09130000000000005,0.18999999999999995,0
0.27,0.15999999999999992,-0.1048,0.15999999999999992,0
0.27999999999999997,0.13,-0.11769999999999994,0.13,0
0.29,0.09999999999999998,-0.13000000000000003,0.09999999999999998,0
0.3,0.06999999999999995,-0.14169999999999996,0.06999999999999995,0
0.31,0.039999999999999925,-0.15279999999999996,0.039999999999999925,0
0.32,0.009999999999999898,-0.16330000000000003,0.009999999999999898,0
0.33,-0.02000000000000013,-0.1732,-0.02000000000000013,0
0.33999999999999997,-0.050000000000000155,-0.18250000000000002,-0.050000000000000155,0
0.35,-0.07999999999999996,-0.19119999999999998,-0.07999999999999996,0
0.36,-0.10999999999999999,-0.19929999999999998,-0.10999999999999999,0
0.37,-0.14,-0.20679999999999993,-0.14,0
0.38,-0.17000000000000004,-0.2137,-0.17000000000000004,0
0.39,-0.20000000000000007,-0.21999999999999997,-0.20000000000000007,0
0.39999999999999997,-0.2300000000000001,-0.2257,-0.2257,1
0.41,-0.2599999999999999,-0.23079999999999998,-0.23079999999999998,1
0.42,-0.2899999999999999,-0.23529999999999998,-0.23529999999999998,1
0.43,-0.31999999999999995,-0.23920000000000005,-0.23920000000000005,1
0.44,-0.35,-0.24250000000000002,-0.24250000000000002,1
0.45,-0.38,-0.24520000000000006,-0.24520000000000006,1
0.45999999999999996,-0.41000000000000003,-0.2473,-0.2473,1
0.47,-0.43999999999999995,-0.24880000000000002,-0.24880000000000002,1
0.48,-0.47,-0.24970000000000003,-0.24970000000000003,1
0.49,-0.5,-0.25,-0.25,1
0.5,-0.53,-0.24970000000000003,-0.24970000000000003,1
0.51,-0.56,-0.24880000000000002,-0.24880000000000002,1
0.52,-0.5900000000000001,-0.24729999999999996,-0.24729999999999996,1
0.53,-0.6200000000000001,-0.24519999999999997,-0.24519999999999997,1
0.54,-0.6500000000000001,-0.24250000000000005,-0.24250000000000005,1
0.55,-0.6800000000000002,-0.23919999999999997,-0.23919999999999997,1
0.5599999999999999,-0.7100000000000002,-0.23529999999999995,-0.23529999999999995,1
0.57,-0.7399999999999999,-0.23079999999999995,-0.23079999999999995,1
0.58,-0.7699999999999999,-0.22569999999999996,-0.22569999999999996,1
0.59,-0.7999999999999999,-0.22000000000000003,-0.22000000000000003,1
0.6,-0.83,-0.21369999999999995,-0.21369999999999995,1
0.61,-0.86,-0.20679999999999993,-0.20679999999999993,1
0.62,-0.89,-0.19929999999999998,-0.19929999999999998,1
0.63,-0.92,-0.19119999999999998,-0.19119999999999998,1
0.64,-0.9500000000000001,-0.18249999999999994,-0.18249999999999994,1
0.65,-0.9800000000000001,-0.17319999999999997,-0.17319999999999997,1
0.66,-1.0100000000000002,-0.16329999999999995,-0.16329999999999995,1
0.67,-1.04,-0.15279999999999994,-0.15279999999999994,1
0.6799999999999999,-1.0700000000000003,-0.14169999999999994,-0.14169999999999994,1
0.69,-1.1,-0.1299999999999999,-0.1299999999999999,1
0.7,-1.13,-0.11770000000000003,-0.11770000000000003,1
0.71,-1.16,-0.1048,-0.1048,1
0.72,-1.19,-0.09130000000000005,-0.09130000000000005,1
0.73,-1.22,-0.07720000000000005,-0.07720000000000005,1
0.74,-1.25,-0.0625,-0.0625,1
0.75,-1.28,-0.04720000000000002,-0.04720000000000002,1
0.76,-1.31,-0.031299999999999994,-0.031299999999999994,1
0.77,-1.34,-0.014799999999999924,-0.014799999999999924,1
0.78,-1.37,0.0023000000000000798,0.0023000000000000798,1
0.79,-1.4000000000000001,0.02000000000000013,0.02000000000000013,1
0.8,-1.4300000000000002,0.03830000000000017,0.03830000000000017,1
0.8099999999999999,-1.4600000000000002,0.05720000000000014,0.05720000000000014,1
0.82,-1.4900000000000002,0.0767000000000001,0.0767000000000001,1
0.83,-1.52,0.09679999999999994,0.09679999999999994,1
0.84,-1.5499999999999998,0.1175,0.1175,1
0.85,-1.58,0.13879999999999992,0.13879999999999992,1
0.86,-1.6099999999999999,0.1607,0.1607,1
0.87,-1.6400000000000001,0.18319999999999997,0.18319999999999997,1
0.88,-1.67,0.20630000000000004,0.20630000000000004,1
0.89,-1.7000000000000002,0.23000000000000007,0.23000000000000007,1
0.9,-1.73,0.2543000000000001,0.2543000000000001,1
0.91,-1.7600000000000002,0.2792000000000001,0.2792000000000001,1
0.92,-1.79,0.30470000000000014,0.30470000000000014,1
0.9299999999999999,-1.8200000000000003,0.33080000000000015,0.33080000000000015,1
0.94,-1.85,0.3575000000000002,0.3575000000000002,1
0.95,-1.88,0.3847999999999999,0.3847999999999999,1
0.96,-1.91,0.41269999999999996,0.41269999999999996,1
0.97,-1.94,0.4411999999999999,0.4411999999999999,1
0.98,-1.97,0.4703,0.4703,1
0.99,-2.0,0.5,0.5,1
